phone_number,message
+77000000000,"Парковка: Парковка ТРК АДК
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Автостоянка №26
Адрес: улица Толе би, 287г
Рейтинг: 4.0"
+77000000000,"Парковка: Автостоянка №26
Адрес: улица Толе би, 287г
Рейтинг: 4.0"
+77000000000,"Парковка: Парковка ТРК АДК
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Парковка
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 0.0"
+77000000000,"Парковка: Горный
Адрес: улица Зеина Шашкина, 36/1
Рейтинг: 5.0"
+77000000000,"Парковка: Almaty Parking
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Сайран-2
Адрес: 5-й микрорайон, 40Б
Рейтинг: 5.0"
+77000000000,"Парковка: Parking
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 0.0"
+77000000000,"Парковка: Парковка
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 0.0"
+77000000000,"Парковка: Parking
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 0.0"
+77000000000,"Парковка: Alva
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Car Land Parking
Адрес: Ораза Жандосова улица, 33д
Рейтинг: 1.0"
+77000000000,"Парковка: Парковка БЦ Нурлы Тау
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Парковка ТРК АДК
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Парковка ТРК Mega Center Alma-Ata
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Автостоянка
Адрес: улица Розыбакиева, 103в
Рейтинг: 5.0"
+77000000000,"Парковка: подземная парковка
Адрес: проспект Аль-Фараби, 41/6 блок 10
Рейтинг: 0.0"
+77000000000,"Парковка: Автостоянка
Адрес: улица Ураза Исаева, 140
Рейтинг: 1.0"
+77000000000,"Парковка: Shafran
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Автостоянка
Адрес: улица Розыбакиева, 103в
Рейтинг: 5.0"
+77000000000,"Парковка: Орбита-3
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 3.0"
+77000000000,"Парковка: Alva
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Парковка ТРК Mega Center Alma-Ata
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Орбита-3
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 3.0"
+77000000000,"Парковка: Magnum Cash & Carry
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 5.0"
+77000000000,"Парковка: Almaty Parking
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 0.0"
+77000000000,"Парковка: Парковка ТРК АДК
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
+77000000000,"Парковка: Автостоянка
Адрес: улица Карасай батыра, 152Б
Рейтинг: 5.0"
+77000000000,"Парковка: Автостоянка
Адрес: улица Карасай батыра, 152Б
Рейтинг: 5.0"
+77000000000,"Парковка: Парковка ТД Саламат
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 0.0"
+77000000000,"Парковка: Парковка ТРЦ Ритц-Палас
Адрес: Керей-Жанибек хандар улица, 558/1
Рейтинг: 1.0"
